央视-移动,#genre#
CHC动作电影,http://120.210.193.151:8006/120000001002/XMTdzdy/1.m3u8
CHC影迷电影,http://120.210.193.151:8006/120000001002/XMTgqdy/1.m3u8
怀旧剧场,http://120.210.193.151:8006/120000001002/XMThjjc/1.m3u8
风云剧场,http://120.210.193.151:8006/120000001002/XMTfyjc/1.m3u8
第一剧场,http://120.210.193.151:8006/120000001002/XMTdyjc/1.m3u8
风云音乐,http://120.210.193.151:8006/120000001002/XMTfyyy/1.m3u8
超级综艺,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-4000k-1080P-NEWTV03/1.m3u8
超级体育,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-4000k-1080P-NEWTV05/1.m3u8
超级电影,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-4000k-1080P-NEWTV06/1.m3u8
超级电视剧,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-4000k-1080P-NEWTV08/1.m3u8
咪咕精彩足球频道,http://120.210.193.151:8006/120000001002/HD-8000k-1080P-miguaoyun1/1.m3u8
咪咕综合体育,http://120.210.193.151:8006/120000001002/HD-8000k-1080P-miguaoyun2/1.m3u8
咪咕全民热练,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8000k-1080P-quanminrl/1.m3u8
精品体育,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/jtiyu/1.m3u8
足球频道,http://120.210.193.151:8006/120000001002/XMTzqpd/index.m3u8
风云足球,http://120.210.193.151:8006/120000001002/XMTfyzq/1.m3u8
高尔夫,http://120.210.193.151:8006/120000001002/XMTgolf/1.m3u8
央视台球,http://120.210.193.151:8006/120000001002/XMTystq/1.m3u8
梨园,http://120.210.193.151:8006/120000001002/XMTliyuan/1.m3u8
武术,http://120.210.193.151:8006/120000001002/XMTwushu/1.m3u8
文物,http://120.210.193.151:8006/120000001002/XMTwenwu/1.m3u8
